YEAR,COMPOUND,AnnualUseKG
1992,METHYL BROMIDE,42036699
1992,ATRAZINE,38321075.8
1992,SULFUR,35339304.2
1992,METOLACHLOR,29484599.3
1992,ALACHLOR,25971061.4
1992,DICHLOROPROPENE,21862351.1
1992,METAM,21720699.6
1992,PETROLEUM OIL,20947972.4
1992,CYANAZINE,15897631.3
1992,"2,4-D",15290259
1993,SULFUR,38872887.3
1993,ATRAZINE,33035614
1993,METOLACHLOR,28635256
1993,ALACHLOR,22387355.6
1993,DICHLOROPROPENE,21495560.6
1993,PETROLEUM OIL,20473878
1993,METAM,16937668.6
1993,CYANAZINE,15139634.7
1993,"2,4-D",14914495.1
1993,METHYL BROMIDE,13377578.4
1994,METHYL BROMIDE,40113066.4
1994,SULFUR,38350886.8
1994,ATRAZINE,36658956.4
1994,METOLACHLOR,32757242.3
1994,ALACHLOR,24717714.9
1994,PETROLEUM OIL,24164806.2
1994,METAM,23644561.3
1994,DICHLOROPROPENE,21216419.2
1994,CYANAZINE,17024570.2
1994,"2,4-D",15898303.8
1995,METHYL BROMIDE,48781878
1995,SULFUR,38338768.7
1995,ATRAZINE,32702724.8
1995,PETROLEUM OIL,31873645.3
1995,METOLACHLOR,30417028.7
1995,DICHLOROPROPENE,27496291.3
1995,METAM,26659744.7
1995,"2,4-D",17720395.7
1995,GLYPHOSATE,15337859.2
1995,PENDIMETHALIN,13427643.9
1996,METHYL BROMIDE,45021440.7
1996,ATRAZINE,38186488.8
1996,PETROLEUM OIL,36149655.7
1996,METAM,35034247.2
1996,SULFUR,34787749.7
1996,DICHLOROPROPENE,32553406.4
1996,METOLACHLOR,31856989.9
1996,"2,4-D",16731168.5
1996,ACETOCHLOR,15165857.8
1996,SODIUM METABORATE,15069170.7
1997,METHYL BROMIDE,39545321.4
1997,PETROLEUM OIL,37894196.2
1997,SULFUR,36738527.699999996
1997,ATRAZINE,36062490.8
1997,METAM,33838650.3
1997,METOLACHLOR,32061374
1997,DICHLOROPROPENE,22758075
1997,GLYPHOSATE,20109022.5
1997,"2,4-D",17547876.6
1997,ACETOCHLOR,15903677.3
1998,SULFUR,41860400.5
1998,ATRAZINE,36557867.5
1998,PETROLEUM OIL,35687111.2
1998,METAM,29080462.7
1998,METHYL BROMIDE,27382810.2
1998,GLYPHOSATE,26752747.9
1998,METOLACHLOR,25145187.1
1998,"2,4-D",16156301.5
1998,ACETOCHLOR,16016087.8
1998,DICHLOROPROPENE,13647836.7
1999,PETROLEUM OIL,51348425.9
1999,SULFUR,38899941.7
1999,ATRAZINE,34994391.1
1999,GLYPHOSATE,33550589.3
1999,METAM,29335715.6
1999,METHYL BROMIDE,28143097.4
1999,ACETOCHLOR,14896498.5
1999,METOLACHLOR,14781294
1999,"2,4-D",13680010.8
1999,DICHLOROPROPENE,13199182.4
2000,GLYPHOSATE,39502784.2
2000,PETROLEUM OIL,38508510.5
2000,ATRAZINE,36679984.8
2000,SULFUR,35870607.3
2000,METAM,30787646.5
2000,METHYL BROMIDE,20542708
2000,DICHLOROPROPENE,18780613.9
2000,ACETOCHLOR,16073747.2
2000,"2,4-D",13785140.2
2000,SULFURIC ACID,13207344.8
2001,GLYPHOSATE,46891505.6
2001,ATRAZINE,36565324.7
2001,PETROLEUM OIL,34428753.7
2001,SULFUR,29498419.7
2001,METAM,28574121.8
2001,DICHLOROPROPENE,21966581
2001,SULFURIC ACID,16366364.5
2001,ACETOCHLOR,16206766.1
2001,"2,4-D",15806454.4
2001,METHYL BROMIDE,15578208.2
2002,GLYPHOSATE,51461526.6
2002,PETROLEUM OIL,42041594.5
2002,ATRAZINE,35971835.9
2002,SULFUR,30598804.4
2002,METAM,28355248.9
2002,DICHLOROPROPENE,23063169.7
2002,SULFURIC ACID,20101332.7
2002,"2,4-D",15658455.4
2002,METOLACHLOR-S,15266825.8
2002,ACETOCHLOR,14950403.5
2003,GLYPHOSATE,59646708.4
2003,PETROLEUM OIL,41613119.7
2003,ATRAZINE,36651146.7
2003,SULFUR,29655613
2003,METAM,22541666.1
2003,SULFURIC ACID,21424970.5
2003,DICHLOROPROPENE,17758261.8
2003,"2,4-D",16978383
2003,ACETOCHLOR,16042995
2003,METOLACHLOR-S,15488025.2
2004,GLYPHOSATE,64850513.9
2004,PETROLEUM OIL,41650123
2004,ATRAZINE,35317793.6
2004,METAM,34869834.1
2004,SULFUR,30237255
2004,SULFURIC ACID,22722802.1
2004,DICHLOROPROPENE,20372789.2
2004,ACETOCHLOR,17411366.4
2004,METOLACHLOR-S,14993235.4
2004,"2,4-D",14784419.9
2005,GLYPHOSATE,72269995.2
2005,PETROLEUM OIL,42387217.2
2005,SULFUR,33852756
2005,ATRAZINE,33020301.4
2005,METAM,27096280.8
2005,DICHLOROPROPENE,26251277.6
2005,METOLACHLOR-S,15427767.2
2005,SULFURIC ACID,14681240.1
2005,ACETOCHLOR,14008738.1
2005,"2,4-D",12903182
2006,GLYPHOSATE,74086017.4
2006,PETROLEUM OIL,34157241.7
2006,ATRAZINE,30403004.4
2006,SULFUR,26374921.5
2006,METAM,25780647.7
2006,DICHLOROPROPENE,25314389.4
2006,SULFURIC ACID,20979665.2
2006,METOLACHLOR-S,14886078.2
2006,"2,4-D",14167817.9
2006,ACETOCHLOR,12378096.8
2007,GLYPHOSATE,83064241.9
2007,ATRAZINE,35261551.1
2007,PETROLEUM OIL,31482319.2
2007,METAM,29293017.9
2007,SULFUR,26061673.2
2007,DICHLOROPROPENE,22592340.3
2007,METOLACHLOR-S,16513921.8
2007,ACETOCHLOR,15193951.1
2007,"2,4-D",14954699.5
2007,SULFURIC ACID,14946792.6
2008,GLYPHOSATE,97971106.6
2008,ATRAZINE,30818785
2008,DICHLOROPROPENE,30376234.4
2008,PETROLEUM OIL,28557696.1
2008,SULFUR,22423153.5
2008,METAM,21924818.7
2008,ACETOCHLOR,14924683
2008,METOLACHLOR-S,14835262
2008,"2,4-D",14193238.4
2008,METAM POTASSIUM,8052292.7
2009,GLYPHOSATE,100798652.8
2009,DICHLOROPROPENE,34156059
2009,ATRAZINE,30389465.8
2009,PETROLEUM OIL,25906194.7
2009,SULFUR,23224909.8
2009,METAM,20582017.2
2009,METOLACHLOR-S,15305606.4
2009,"2,4-D",14930255
2009,ACETOCHLOR,13917741.2
2009,SULFURIC ACID,11051591
2010,GLYPHOSATE,110241930.2
2010,ATRAZINE,29347846.7
2010,SULFUR,24977599.6
2010,PETROLEUM OIL,24231905.7
2010,METAM,23101119.2
2010,DICHLOROPROPENE,20113533.5
2010,METOLACHLOR-S,17004965.2
2010,ACETOCHLOR,15667955.8
2010,"2,4-D",14817820.2
2010,SULFURIC ACID,14527377.200000001
2011,GLYPHOSATE,114525033.8
2011,ATRAZINE,30564335.1
2011,DICHLOROPROPENE,28239834.1
2011,PETROLEUM OIL,28138445.4
2011,SULFUR,28112701.6
2011,METAM,24738836.4
2011,ACETOCHLOR,17991078.5
2011,METOLACHLOR-S,17344041
2011,"2,4-D",16141395.1
2011,CHLOROPICRIN,8961932.7
2012,GLYPHOSATE,129870423.2
2012,ATRAZINE,32010696.3
2012,DICHLOROPROPENE,28228238.8
2012,SULFUR,26430340
2012,PETROLEUM OIL,25821467.7
2012,METAM,20651770.7
2012,METOLACHLOR-S,19718843.2
2012,"2,4-D",18591906
2012,ACETOCHLOR,17205902.7
2012,METAM POTASSIUM,15952779.7
2013,GLYPHOSATE,128721297.3
2013,ATRAZINE,34456993.2
2013,PETROLEUM OIL,27115626.4
2013,METOLACHLOR & METOLACHLOR-S,26144591.9
2013,SULFUR,25834532.1
2013,DICHLOROPROPENE,24058659.6
2013,METAM,23012486.8
2013,METOLACHLOR-S,20929968.9
2013,ACETOCHLOR,19598422.5
2013,"2,4-D",19006276
2014,GLYPHOSATE,130414366.5
2014,ATRAZINE,32144693.8
2014,SULFUR,28050685
2014,METOLACHLOR & METOLACHLOR-S,26550552.2
2014,DICHLOROPROPENE,25564112.2
2014,METAM,21170566.3
2014,METOLACHLOR-S,20879646.3
2014,PETROLEUM OIL,20565854.9
2014,ACETOCHLOR,20227298.9
2014,"2,4-D",18308435.5
2015,GLYPHOSATE,129907738.4
2015,ATRAZINE,31895582.8
2015,METOLACHLOR & METOLACHLOR-S,31840777.7
2015,SULFUR,27628053.2
2015,METOLACHLOR-S,25821453.8
2015,PETROLEUM OIL,25069315.4
2015,METAM,23184672.2
2015,DICHLOROPROPENE,21632467.4
2015,ACETOCHLOR,21278355.6
2015,"2,4-D",20146859.7
2016,GLYPHOSATE,131820789.4
2016,ATRAZINE,34721854.5
2016,METOLACHLOR & METOLACHLOR-S,32697751.4
2016,SULFUR,28008935.2
2016,METOLACHLOR-S,27621316.2
2016,DICHLOROPROPENE,27062489.8
2016,METAM,25762510.099999998
2016,ACETOCHLOR,21845417.9
2016,"2,4-D",21448028
2016,PETROLEUM OIL,18971985.9
2017,GLYPHOSATE,127853732.5
2017,METOLACHLOR & METOLACHLOR-S,35887615
2017,ATRAZINE,34281258.1
2017,METOLACHLOR-S,27978883.1
2017,SULFUR,27237433.1
2017,METAM,25466119.7
2017,ACETOCHLOR,24976051.5
2017,DICHLOROPROPENE,22689017.1
2017,"2,4-D",21489465.2
2017,PETROLEUM OIL,19292096.7
